date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-01-24,59.0,0.0,2.0,8.0,19.0,48822.0,1087,63
2022-01-23,66.0,0.0,10.0,40.0,62.0,48822.0,1159,143
2022-01-22,61.0,0.0,15.0,62.0,61.0,48822.0,938,196
2022-01-21,66.0,0.0,16.0,34.0,50.0,48822.0,1107,187
2022-01-20,79.0,0.0,4.0,16.0,41.0,48822.0,1351,355
2022-01-19,114.0,0.0,11.0,33.0,102.0,48822.0,1522,361
2022-01-18,83.0,0.0,12.0,12.0,46.0,48822.0,1391,433
2022-01-17,116.0,0.0,23.0,18.0,29.0,48822.0,1571,297
2022-01-16,95.0,0.0,10.0,11.0,89.0,48822.0,1363,193
2022-01-15,72.0,0.0,40.0,41.0,98.0,48822.0,1062,326
2022-01-14,76.0,0.0,27.0,21.0,128.0,48822.0,1265,327
2022-01-13,88.0,0.0,5.0,10.0,41.0,48822.0,1373,405
2022-01-12,90.0,0.0,19.0,20.0,186.0,48822.0,1807,507
2022-01-11,83.0,0.0,18.0,23.0,40.0,48822.0,1499,572
2022-01-10,132.0,0.0,7.0,20.0,50.0,48822.0,1668,498
2022-01-09,87.0,0.0,25.0,20.0,148.0,48822.0,1542,356
2022-01-08,67.0,0.0,14.0,15.0,71.0,48822.0,1309,586
2022-01-07,94.0,0.0,19.0,41.0,141.0,48822.0,1357,536
2022-01-06,109.0,0.0,6.0,18.0,115.0,48822.0,1990,465
2022-01-05,175.0,0.0,19.0,45.0,179.0,48822.0,2445,392
2022-01-04,192.0,0.0,6.0,19.0,130.0,48822.0,1888,488
2022-01-03,163.0,0.0,12.0,15.0,157.0,48822.0,1638,589
2022-01-02,158.0,0.0,6.0,13.0,127.0,48822.0,1177,410
2022-01-01,63.0,0.0,1.0,0.0,4.0,48822.0,1006,384
2021-12-31,129.0,0.0,15.0,10.0,109.0,48822.0,1837,715
2021-12-30,132.0,0.0,9.0,27.0,225.0,48822.0,1217,342
2021-12-29,133.0,0.0,30.0,38.0,303.0,48822.0,1358,483
2021-12-28,106.0,0.0,18.0,42.0,283.0,48822.0,929,186
2021-12-27,79.0,0.0,9.0,31.0,242.0,48822.0,991,226
2021-12-26,41.0,0.0,1.0,0.0,1.0,48822.0,1075,328
2021-12-25,32.0,1.0,0.0,0.0,0.0,48822.0,877,253
2021-12-24,61.0,0.0,3.0,10.0,71.0,48822.0,1109,285
2021-12-23,69.0,0.0,20.0,41.0,430.0,48822.0,1133,312
2021-12-22,57.0,0.0,30.0,55.0,484.0,48822.0,1470,569
2021-12-21,50.0,0.0,26.0,67.0,641.0,48822.0,1032,295
2021-12-20,44.0,0.0,22.0,45.0,625.0,48822.0,1221,349
2021-12-19,36.0,0.0,21.0,49.0,702.0,48822.0,1172,434
2021-12-18,21.0,0.0,22.0,36.0,464.0,48822.0,956,300
2021-12-17,23.0,0.0,22.0,42.0,1004.0,48822.0,1108,366
2021-12-16,30.0,0.0,27.0,74.0,1282.0,48822.0,1292,518
2021-12-15,28.0,0.0,37.0,59.0,1538.0,48822.0,1356,459
2021-12-14,42.0,0.0,12.0,39.0,514.0,48822.0,1123,488
