date,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.0,0.0,1.0,2.0,2.0,2.0,7.0,3.0,3.0,5.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0
2020-12-31,0.0,0.0,2.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,2.0,0.0
2021-01-01,0.0,0.0,1.0,5.0,6.0,4.0,3.0,3.0,8.0,5.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0
2021-01-02,0.0,0.0,1.0,3.0,3.0,6.0,3.0,7.0,6.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,7.0,5.0,5.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-01-05,0.0,0.0,4.0,4.0,5.0,7.0,6.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,161.0,94.0,44.0
2021-01-06,0.0,0.0,0.0,3.0,4.0,4.0,4.0,5.0,9.0,4.0,5.0,1.0,0.0,0.0,144.0,119.0,47.0
2021-01-07,0.0,0.0,3.0,4.0,5.0,7.0,16.0,7.0,9.0,7.0,7.0,2.0,0.0,0.0,111.0,106.0,49.0
2021-01-08,0.0,0.0,3.0,7.0,6.0,10.0,8.0,12.0,11.0,13.0,6.0,5.0,1.0,2.0,67.0,38.0,23.0
2021-01-09,0.0,0.0,4.0,7.0,9.0,13.0,21.0,16.0,14.0,13.0,14.0,5.0,3.0,2.0,92.0,59.0,22.0
2021-01-10,0.0,0.0,1.0,3.0,6.0,2.0,3.0,10.0,9.0,9.0,11.0,2.0,3.0,1.0,10.0,5.0,2.0
2021-01-11,0.0,0.0,3.0,3.0,2.0,2.0,6.0,1.0,9.0,6.0,5.0,5.0,2.0,1.0,2.0,7.0,1.0
2021-01-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-16,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2021-02-19,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-20,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-24,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-02-25,0.0,1.0,6.0,9.0,5.0,9.0,8.0,9.0,9.0,15.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,5.0,10.0,6.0,8.0,16.0,19.0,25.0,19.0,10.0,8.0,2.0,1.0,11.0,7.0,1.0
2021-02-27,0.0,0.0,5.0,8.0,11.0,7.0,5.0,15.0,21.0,16.0,11.0,4.0,1.0,0.0,0.0,2.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,6.0,1.0,2.0,3.0,7.0,1.0,3.0,3.0,3.0,2.0,1.0,6.0,167.0,100.0,28.0
2021-03-03,0.0,0.0,1.0,2.0,0.0,7.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,186.0,101.0,42.0
2021-03-04,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,91.0,58.0,22.0
2021-03-05,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,10.0,3.0,2.0,1.0,2.0,11.0,14.0,7.0
2021-03-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
2021-03-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,8.0,10.0,7.0,8.0,13.0,14.0,13.0,11.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0
2021-03-09,0.0,0.0,12.0,10.0,13.0,15.0,19.0,20.0,31.0,30.0,35.0,10.0,5.0,1.0,0.0,3.0,0.0
2021-03-10,0.0,0.0,8.0,15.0,12.0,23.0,26.0,21.0,30.0,23.0,21.0,4.0,1.0,0.0,1.0,4.0,2.0
2021-03-11,0.0,0.0,9.0,11.0,9.0,9.0,22.0,24.0,23.0,20.0,17.0,3.0,9.0,1.0,9.0,8.0,3.0
2021-03-12,0.0,0.0,12.0,20.0,16.0,27.0,32.0,36.0,38.0,40.0,21.0,7.0,3.0,1.0,20.0,13.0,1.0
2021-03-13,0.0,0.0,17.0,25.0,26.0,26.0,29.0,20.0,35.0,29.0,13.0,7.0,2.0,1.0,0.0,1.0,0.0
2021-03-14,0.0,0.0,14.0,19.0,18.0,16.0,25.0,24.0,34.0,37.0,24.0,10.0,3.0,6.0,1.0,0.0,0.0
2021-03-15,0.0,0.0,8.0,14.0,9.0,15.0,18.0,24.0,30.0,27.0,18.0,6.0,11.0,6.0,3.0,0.0,0.0
2021-03-16,0.0,0.0,25.0,18.0,18.0,15.0,19.0,26.0,38.0,32.0,15.0,7.0,4.0,4.0,7.0,2.0,1.0
2021-03-17,0.0,0.0,37.0,21.0,27.0,25.0,27.0,38.0,56.0,56.0,31.0,9.0,3.0,4.0,5.0,0.0,1.0
2021-03-18,0.0,0.0,28.0,31.0,36.0,40.0,39.0,58.0,69.0,63.0,46.0,19.0,16.0,4.0,4.0,12.0,8.0
2021-03-19,0.0,0.0,28.0,14.0,28.0,30.0,34.0,33.0,35.0,34.0,24.0,8.0,9.0,12.0,81.0,45.0,28.0
2021-03-20,0.0,0.0,21.0,20.0,33.0,23.0,31.0,35.0,52.0,54.0,27.0,5.0,2.0,4.0,3.0,5.0,11.0
2021-03-21,0.0,1.0,12.0,7.0,11.0,5.0,11.0,18.0,11.0,13.0,17.0,8.0,0.0,1.0,0.0,0.0,0.0
2021-03-22,0.0,1.0,9.0,13.0,18.0,20.0,18.0,11.0,15.0,20.0,13.0,8.0,3.0,4.0,1.0,3.0,1.0
2021-03-23,0.0,0.0,22.0,11.0,16.0,14.0,13.0,26.0,26.0,28.0,15.0,12.0,8.0,3.0,5.0,5.0,6.0
2021-03-24,0.0,0.0,26.0,21.0,26.0,39.0,30.0,40.0,45.0,43.0,31.0,17.0,10.0,140.0,135.0,95.0,33.0
2021-03-25,0.0,0.0,20.0,24.0,30.0,26.0,27.0,34.0,35.0,35.0,23.0,15.0,15.0,48.0,158.0,68.0,46.0
2021-03-26,0.0,1.0,30.0,29.0,34.0,26.0,29.0,39.0,24.0,34.0,33.0,11.0,8.0,26.0,59.0,50.0,43.0
2021-03-27,0.0,0.0,30.0,13.0,21.0,25.0,18.0,24.0,37.0,28.0,18.0,10.0,10.0,46.0,55.0,28.0,20.0
2021-03-28,0.0,0.0,21.0,6.0,11.0,17.0,24.0,17.0,21.0,24.0,22.0,6.0,2.0,16.0,13.0,2.0,2.0
2021-03-29,0.0,0.0,21.0,17.0,15.0,21.0,10.0,20.0,19.0,26.0,20.0,12.0,11.0,29.0,23.0,20.0,17.0
2021-03-30,0.0,2.0,25.0,11.0,20.0,14.0,22.0,15.0,35.0,22.0,27.0,19.0,8.0,58.0,76.0,49.0,22.0
2021-03-31,0.0,1.0,19.0,20.0,16.0,26.0,17.0,28.0,26.0,22.0,26.0,16.0,29.0,264.0,436.0,315.0,152.0
2021-04-01,0.0,0.0,16.0,17.0,25.0,15.0,26.0,22.0,28.0,31.0,12.0,10.0,19.0,62.0,214.0,225.0,111.0
2021-04-02,0.0,0.0,6.0,2.0,2.0,0.0,2.0,2.0,3.0,5.0,4.0,6.0,2.0,0.0,3.0,3.0,3.0
2021-04-03,0.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,5.0,3.0,5.0,2.0,2.0,11.0,64.0,43.0,5.0
2021-04-04,0.0,0.0,2.0,0.0,0.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0
2021-04-05,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,6.0,5.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0
2021-04-06,0.0,0.0,10.0,8.0,5.0,3.0,5.0,16.0,12.0,10.0,10.0,7.0,7.0,9.0,15.0,28.0,26.0
2021-04-07,0.0,0.0,16.0,5.0,8.0,8.0,7.0,7.0,7.0,5.0,9.0,10.0,31.0,263.0,71.0,19.0,16.0
2021-04-08,0.0,0.0,10.0,9.0,8.0,7.0,6.0,13.0,8.0,15.0,17.0,14.0,32.0,407.0,100.0,46.0,17.0
2021-04-09,0.0,1.0,9.0,6.0,10.0,5.0,3.0,9.0,18.0,9.0,9.0,8.0,96.0,341.0,273.0,86.0,21.0
2021-04-10,0.0,0.0,10.0,1.0,6.0,2.0,2.0,8.0,11.0,4.0,3.0,10.0,180.0,505.0,108.0,34.0,18.0
2021-04-11,0.0,0.0,5.0,7.0,5.0,7.0,8.0,11.0,11.0,23.0,23.0,22.0,192.0,371.0,166.0,47.0,4.0
2021-04-12,0.0,0.0,4.0,10.0,8.0,8.0,7.0,11.0,11.0,19.0,13.0,7.0,34.0,62.0,29.0,12.0,8.0
2021-04-13,0.0,0.0,16.0,7.0,14.0,16.0,7.0,16.0,25.0,22.0,28.0,24.0,101.0,96.0,14.0,4.0,3.0
2021-04-14,0.0,1.0,18.0,6.0,9.0,8.0,8.0,17.0,14.0,18.0,28.0,9.0,190.0,284.0,66.0,22.0,15.0
